line_number,book_number,original_text,verse_normalized,verse_syllabified
55,1,"Dessen Tochter hält den ängstlich harrenden Dulder,",dessen tochter hält den ängstlich harrenden dulder,des|sen|toch|ter|hält|den|ängst|lich|har|ren|den|dul|der
56,1,"Immer schmeichelt sie ihm mit sanft liebkosenden Worten,",immer schmeichelt sie ihm mit sanft liebkosenden worten,im|mer|schmei|chelt|sie|ihm|mit|sanft|lieb|ko|sen|den|wor|ten
57,1,Daß er des Vaterlandes vergesse. Aber Odysseus,daß er des vaterlandes vergesse aber odysseus,daß|er|des|va|ter|lan|des|ver|ges|se|a|ber|o|dys|seus
58,1,"Sehnt sich, auch nur den Rauch von Ithakas heimischen Hügeln",sehnt sich auch nur den rauch von ithakas heimischen hügeln,sehnt|sich|auch|nur|den|rauch|von|i|tha|kas|hei|mi|schen|hü|geln
59,1,"Steigen zu sehn, und dann zu sterben! Ist denn bei dir auch",steigen zu sehn und dann zu sterben ist denn bei dir auch,stei|gen|zu|sehn|und|dann|zu|ster|ben|ist|denn|bei|dir|auch
60,1,"Kein Erbarmen für ihn, Olympier? Brachte Odysseus",kein erbarmen für ihn olympier brachte odysseus,kein|er|bar|men|für|ihn|o|lym|pi|er|brach|te|o|dys|seus
61,1,Nicht bei den Schiffen der Griechen in Trojas weitem Gefilde,nicht bei den schiffen der griechen in trojas weitem gefilde,nicht|bei|den|schif|fen|der|grie|chen|in|tro|jas|wei|tem|ge|fil|de
62,1,"Sühnender Opfer genug? Warum denn zürnest du so, Zeus?",sühnender opfer genug warum denn zürnest du so zeus,süh|nen|der|op|fer|ge|nug|war|um|denn|zür|nest|du|so|zeus
63,1,Ihr antwortete drauf der Wolkenversammler Kronion:,ihr antwortete drauf der wolkenversammler kronion,ihr|ant|wor|te|te|drauf|der|wol|ken|ver|samm|ler|kro|ni|on
64,1,"Welche Rede, mein Kind, ist deinen Lippen entflohen?",welche rede mein kind ist deinen lippen entflohen,wel|che|re|de|mein|kind|ist|dei|nen|lip|pen|ent|flo|hen
65,1,O wie könnte doch ich des edlen Odysseus vergessen?,o wie könnte doch ich des edlen odysseus vergessen,o|wie|könn|te|doch|ich|des|ed|len|o|dys|seus|ver|ges|sen
66,1,"Sein, des weisesten Mannes, und der die reichlichsten Opfer",sein des weisesten mannes und der die reichlichsten opfer,sein|des|wei|ses|ten|man|nes|und|der|die|reich|lichs|ten|op|fer
67,1,"Uns Unsterblichen brachte, des weiten Himmels Bewohnern?",uns unsterblichen brachte des weiten himmels bewohnern,uns|un|sterb|li|chen|brach|te|des|wei|ten|him|mels|be|woh|nern
68,1,"Poseidaon verfolgt ihn, der Erdumgürter, mit heißer",poseidaon verfolgt ihn der erdumgürter mit heißer,po|sei|daon|ver|folgt|ihn|der|erd|um|gür|ter|mit|hei|ßer
69,1,"Unaufhörlicher Rache; weil er den Kyklopen geblendet,",unaufhörlicher rache weil er den kyklopen geblendet,un|auf|hör|li|cher|ra|che|weil|er|den|ky|klo|pen|ge|blen|det
70,1,"Polyphemos, den Riesen, der unter allen Kyklopen,",polyphemos den riesen der unter allen kyklopen,po|ly|phe|mos|den|rie|sen|der|un|ter|al|len|ky|klo|pen
71,1,"Stark wie ein Gott, sich erhebt. Ihn gebar die Nymphe Thoosa,",stark wie ein gott sich erhebt ihn gebar die nymphe thoosa,stark|wie|ein|gott|sich|er|hebt|ihn|ge|bar|die|nym|phe|thoosa
72,1,"Phorkyns Tochter, des Herrschers im wüsten Reiche der Wasser,",phorkyns tochter des herrschers im wüsten reiche der wasser,phorkyns|toch|ter|des|herr|schers|im|wüs|ten|rei|che|der|was|ser
73,1,Welche Poseidon einst in dämmernder Grotte bezwungen.,welche poseidon einst in dämmernder grotte bezwungen,wel|che|po|sei|don|einst|in|däm|mern|der|grot|te|be|zwun|gen
74,1,"Darum trachtet den Helden der Erderschüttrer Poseidon,",darum trachtet den helden der erderschüttrer poseidon,da|rum|trach|tet|den|hel|den|der|er|der|schütt|rer|po|sei|don
75,1,"Nicht zu töten, allein von der Heimat irre zu treiben.",nicht zu töten allein von der heimat irre zu treiben,nicht|zu|tö|ten|al|lein|von|der|hei|mat|ir|re|zu|trei|ben
76,1,"Aber wir wollen uns alle zum Rat vereinen, die Heimkehr",aber wir wollen uns alle zum rat vereinen die heimkehr,a|ber|wir|wol|len|uns|al|le|zum|rat|ver|ei|nen|die|heim|kehr
77,1,Dieses Verfolgten zu fördern; und Poseidaon entsage,dieses verfolgten zu fördern und poseidaon entsage,die|ses|ver|folg|ten|zu|för|dern|und|po|sei|daon|ent|sa|ge
78,1,"Seinem Zorn: denn nichts vermag er doch wider uns alle,",seinem zorn denn nichts vermag er doch wider uns alle,sei|nem|zorn|denn|nichts|ver|mag|er|doch|wi|der|uns|al|le
79,1,Uns unsterblichen Göttern allein entgegen zu kämpfen!,uns unsterblichen göttern allein entgegen zu kämpfen,uns|un|sterb|li|chen|göt|tern|al|lein|ent|ge|gen|zu|kämp|fen
80,1,Drauf antwortete Zeus' blauäugichte Tochter Athene:,drauf antwortete zeus' blauäugichte tochter athene,drauf|ant|wor|te|te|zeus'|blau|äu|gich|te|toch|ter|a|the|ne
81,1,"Unser Vater Kronion, der herrschenden Könige Herrscher,",unser vater kronion der herrschenden könige herrscher,un|ser|va|ter|kro|ni|on|der|herr|schen|den|kö|ni|ge|herr|scher
82,1,"Ist denn dieses im Rate der seligen Götter beschlossen,",ist denn dieses im rate der seligen götter beschlossen,ist|denn|die|ses|im|ra|te|der|se|li|gen|göt|ter|be|schlos|sen
83,1,Daß in sein Vaterland heimkehre der weise Odysseus;,daß in sein vaterland heimkehre der weise odysseus,daß|in|sein|va|ter|land|heim|keh|re|der|wei|se|o|dys|seus
84,1,"Auf! so laßt uns Hermeias, den rüstigen Argosbesieger,",auf so laßt uns hermeias den rüstigen argosbesieger,auf|so|laßt|uns|her|mei|as|den|rüs|ti|gen|ar|gos|be|sie|ger
85,1,Senden hinab zu der Insel Ogygia: daß er der Nymphe,senden hinab zu der insel ogygia daß er der nymphe,sen|den|hin|ab|zu|der|in|sel|ogy|gia|daß|er|der|nym|phe
86,1,"Mit schönwallenden Locken verkünde den heiligen Ratschluß,",mit schönwallenden locken verkünde den heiligen ratschluß,mit|schön|wal|len|den|lo|cken|ver|kün|de|den|hei|li|gen|rat|schluß
87,1,Von der Wiederkehr des leidengeübten Odysseus.,von der wiederkehr des leidengeübten odysseus,von|der|wie|der|kehr|des|lei|den|ge|üb|ten|o|dys|seus
88,1,"Aber ich will gern Ithaka gehn, den Sohn des Verfolgten",aber ich will gern ithaka gehn den sohn des verfolgten,a|ber|ich|will|gern|i|tha|ka|gehn|den|sohn|des|ver|folg|ten
89,1,"Mehr zu entflammen, und Mut in des Jünglings Seele zu gießen;",mehr zu entflammen und mut in des jünglings seele zu gießen,mehr|zu|ent|flam|men|und|mut|in|des|jüng|lings|see|le|zu|gie|ßen
90,1,"Daß er zu Rat berufe die hauptumlockten Achaier,",daß er zu rat berufe die hauptumlockten achaier,daß|er|zu|rat|be|ru|fe|die|haup|tum|lock|ten|a|chai|er
91,1,"Und den Freiern verbiete, die stets mit üppiger Frechheit",und den freiern verbiete die stets mit üppiger frechheit,und|den|frei|ern|ver|bie|te|die|stets|mit|üp|pi|ger|frech|heit
92,1,"Seine Schafe schlachten, und sein schwerwandelndes Hornvieh;",seine schafe schlachten und sein schwerwandelndes hornvieh,sei|ne|scha|fe|schlach|ten|und|sein|schwer|wan|deln|des|horn|vieh
93,1,"Will ihn dann senden gen Sparta, und zu der sandigen Pylos:",will ihn dann senden gen sparta und zu der sandigen pylos,will|ihn|dann|sen|den|gen|spar|ta|und|zu|der|san|di|gen|py|los
94,1,"Daß er nach Kundschaft forsche von seines Vaters Zurückkunft,",daß er nach kundschaft forsche von seines vaters zurückkunft,daß|er|nach|kund|schaft|for|sche|von|sei|nes|va|ters|zu|rück|kunft
95,1,Und ein edler Ruf ihn unter den Sterblichen preise.,und ein edler ruf ihn unter den sterblichen preise,und|ein|ed|ler|ruf|ihn|un|ter|den|sterb|li|chen|prei|se
96,1,"Also sprach sie, und band sich unter die Füße die schönen",also sprach sie und band sich unter die füße die schönen,al|so|sprach|sie|und|band|sich|un|ter|die|fü|ße|die|schö|nen
97,1,"Goldnen ambrosischen Sohlen, womit sie über die Wasser",goldnen ambrosischen sohlen womit sie über die wasser,gold|nen|am|bro|si|schen|soh|len|wo|mit|sie|ü|ber|die|was|ser
98,1,Und das unendliche Land im Hauche des Windes einherschwebt;,und das unendliche land im hauche des windes einherschwebt,und|das|un|end|li|che|land|im|hau|che|des|win|des|ein|her|schwebt
99,1,"Faßte die mächtige Lanze mit scharfer eherner Spitze,",faßte die mächtige lanze mit scharfer eherner spitze,faß|te|die|mäch|ti|ge|lan|ze|mit|schar|fer|e|her|ner|spit|ze
100,1,"Schwer und groß und stark, womit sie die Scharen der Helden",schwer und groß und stark womit sie die scharen der helden,schwer|und|groß|und|stark|wo|mit|sie|die|scha|ren|der|hel|den
101,1,"Stürzt, wenn im Zorn sich erhebt die Tochter des schrecklichen Vaters.",stürzt wenn im zorn sich erhebt die tochter des schrecklichen vaters,stürzt|wenn|im|zorn|sich|er|hebt|die|toch|ter|des|schreck|li|chen|va|ters
102,1,"Eilend fuhr sie hinab von den Gipfeln des hohen Olympos,",eilend fuhr sie hinab von den gipfeln des hohen olympos,ei|lend|fuhr|sie|hin|ab|von|den|gip|feln|des|ho|hen|o|lym|pos
103,1,"Stand nun in Ithakas Stadt, am Tore des Helden Odysseus,",stand nun in ithakas stadt am tore des helden odysseus,stand|nun|in|i|tha|kas|stadt|am|to|re|des|hel|den|o|dys|seus
104,1,"Vor der Schwelle des Hofs, und hielt die eherne Lanze,",vor der schwelle des hofs und hielt die eherne lanze,vor|der|schwel|le|des|hofs|und|hielt|die|e|her|ne|lan|ze
105,1,"Gleich dem Freunde des Hauses, dem Fürsten der Taphier Mentes.",gleich dem freunde des hauses dem fürsten der taphier mentes,gleich|dem|freun|de|des|hau|ses|dem|fürs|ten|der|ta|phier|men|tes
106,1,Aber die mutigen Freier erblickte sie an des Palastes,aber die mutigen freier erblickte sie an des palastes,a|ber|die|mu|ti|gen|frei|er|er|blick|te|sie|an|des|pa|las|tes
107,1,"Pforte, wo sie ihr Herz mit Steineschieben ergötzten,",pforte wo sie ihr herz mit steineschieben ergötzten,pfor|te|wo|sie|ihr|herz|mit|stei|ne|schie|ben|er|götz|ten
108,1,"Hin auf Häuten der Rinder gestreckt, die sie selber geschlachtet.",hin auf häuten der rinder gestreckt die sie selber geschlachtet,hin|auf|häu|ten|der|rin|der|ge|streckt|die|sie|sel|ber|ge|schlach|tet
109,1,Herold' eilten umher und fleißige Diener im Hause:,herold' eilten umher und fleißige diener im hause,he|rold'|eil|ten|um|her|und|flei|ßi|ge|die|ner|im|hau|se
110,1,Jene mischten für sie den Wein in den Kelchen mit Wasser;,jene mischten für sie den wein in den kelchen mit wasser,je|ne|misch|ten|für|sie|den|wein|in|den|kel|chen|mit|was|ser
111,1,"Diese säuberten wieder mit lockern Schwämmen die Tische,",diese säuberten wieder mit lockern schwämmen die tische,die|se|säu|ber|ten|wie|der|mit|lo|ckern|schwäm|men|die|ti|sche
112,1,"Stellten in Reihen sie hin, und teilten die Menge des Fleisches.",stellten in reihen sie hin und teilten die menge des fleisches,stell|ten|in|rei|hen|sie|hin|und|teil|ten|die|men|ge|des|flei|sches
113,1,"Pallas erblickte zuerst Telemachos, ähnlich den Göttern.",pallas erblickte zuerst telemachos ähnlich den göttern,pal|las|er|blick|te|zu|erst|te|le|ma|chos|ähn|lich|den|göt|tern
114,1,Unter den Freiern saß er mit traurigem Herzen; denn immer,unter den freiern saß er mit traurigem herzen denn immer,un|ter|den|frei|ern|saß|er|mit|trau|ri|gem|her|zen|denn|im|mer
115,1,Schwebte vor seinem Geiste das Bild des trefflichen Vaters:,schwebte vor seinem geiste das bild des trefflichen vaters,schweb|te|vor|sei|nem|geis|te|das|bild|des|treff|li|chen|va|ters
116,1,"Ob er nicht endlich käme, die Freier im Hause zerstreute,",ob er nicht endlich käme die freier im hause zerstreute,ob|er|nicht|end|lich|kä|me|die|frei|er|im|hau|se|zer|streu|te
117,1,"Und, mit Ehre gekrönt, sein Eigentum wieder beherrschte.",und mit ehre gekrönt sein eigentum wieder beherrschte,und|mit|eh|re|ge|krönt|sein|ei|gen|tum|wie|der|be|herrsch|te
118,1,"Dem nachdenkend, saß er bei jenen, erblickte die Göttin,",dem nachdenkend saß er bei jenen erblickte die göttin,dem|nach|den|kend|saß|er|bei|je|nen|er|blick|te|die|göt|tin
119,1,"Und ging schnell nach der Pforte des Hofs, unwillig im Herzen,",und ging schnell nach der pforte des hofs unwillig im herzen,und|ging|schnell|nach|der|pfor|te|des|hofs|un|wil|lig|im|her|zen
120,1,"Daß ein Fremder so lang' an der Türe harrte; empfing sie,",daß ein fremder so lang' an der türe harrte empfing sie,daß|ein|frem|der|so|lang'|an|der|tü|re|harr|te|emp|fing|sie
121,1,"Drückt' ihr die rechte Hand, und nahm die eherne Lanze,",drückt' ihr die rechte hand und nahm die eherne lanze,drückt'|ihr|die|rech|te|hand|und|nahm|die|e|her|ne|lan|ze
122,1,"Redete freundlich sie an, und sprach die geflügelten Worte:",redete freundlich sie an und sprach die geflügelten worte,re|de|te|freund|lich|sie|an|und|sprach|die|ge|flü|gel|ten|wor|te
123,1,"Freue dich, fremder Mann! Sei uns willkommen; und hast du",freue dich fremder mann sei uns willkommen und hast du,freu|e|dich|frem|der|mann|sei|uns|will|kom|men|und|hast|du
124,1,"Dich mit Speise gestärkt, dann sage, was du begehrest.",dich mit speise gestärkt dann sage was du begehrest,dich|mit|spei|se|ge|stärkt|dann|sa|ge|was|du|be|geh|rest
125,1,"Also sprach er, und ging; ihm folgete Pallas Athene.",also sprach er und ging ihm folgete pallas athene,al|so|sprach|er|und|ging|ihm|fol|ge|te|pal|las|a|the|ne
126,1,Als sie jetzt in den Saal des hohen Palastes gekommen;,als sie jetzt in den saal des hohen palastes gekommen,als|sie|jetzt|in|den|saal|des|ho|hen|pa|las|tes|ge|kom|men
127,1,"Trug er die Lanz' in das schöngetäfelte Speerbehältnis,",trug er die lanz' in das schöngetäfelte speerbehältnis,trug|er|die|lanz'|in|das|schön|ge|tä|fel|te|speer|be|hält|nis
128,1,"An die hohe Säule sie lehnend, an welcher noch viele",an die hohe säule sie lehnend an welcher noch viele,an|die|ho|he|säu|le|sie|leh|nend|an|wel|cher|noch|vie|le
129,1,Andere Lanzen stunden des leidengeübten Odysseus.,andere lanzen stunden des leidengeübten odysseus,an|de|re|lan|zen|stun|den|des|lei|den|ge|üb|ten|o|dys|seus
130,1,"Pallas führt' er zum Thron, und breitet' ein Polster ihr unter,",pallas führt' er zum thron und breitet' ein polster ihr unter,pal|las|führt'|er|zum|thron|und|brei|tet'|ein|pols|ter|ihr|un|ter
131,1,"Schön und künstlich gewirkt; ein Schemel stützte die Füße,",schön und künstlich gewirkt ein schemel stützte die füße,schön|und|künst|lich|ge|wirkt|ein|sche|mel|stütz|te|die|fü|ße
132,1,"Neben ihr setzt' er sich selbst auf einen prächtigen Sessel,",neben ihr setzt' er sich selbst auf einen prächtigen sessel,ne|ben|ihr|setzt'|er|sich|selbst|auf|ei|nen|präch|ti|gen|ses|sel
133,1,Von den Freiern entfernt: daß nicht dem Gaste die Mahlzeit,von den freiern entfernt daß nicht dem gaste die mahlzeit,von|den|frei|ern|ent|fernt|daß|nicht|dem|gas|te|die|mahl|zeit
134,1,Durch das wüste Getümmel der Trotzigen würde verleidet;,durch das wüste getümmel der trotzigen würde verleidet,durch|das|wüs|te|ge|tüm|mel|der|trot|zi|gen|wür|de|ver|lei|det
135,1,Und er um Kundschaft ihn von seinem Vater befragte.,und er um kundschaft ihn von seinem vater befragte,und|er|um|kund|schaft|ihn|von|sei|nem|va|ter|be|frag|te
136,1,"Eine Dienerin trug in der schönen goldenen Kanne,",eine dienerin trug in der schönen goldenen kanne,ei|ne|die|ne|rin|trug|in|der|schö|nen|gol|de|nen|kan|ne
137,1,"Über dem silbernen Becken, das Wasser, beströmte zum Waschen",über dem silbernen becken das wasser beströmte zum waschen,ü|ber|dem|sil|ber|nen|be|cken|das|was|ser|be|ström|te|zum|wa|schen
138,1,"Ihnen die Händ', und stellte vor sie die geglättete Tafel.",ihnen die händ' und stellte vor sie die geglättete tafel,ih|nen|die|händ'|und|stell|te|vor|sie|die|ge|glät|te|te|ta|fel
139,1,"Und die ehrbare Schaffnerin kam, und tischte das Brot auf,",und die ehrbare schaffnerin kam und tischte das brot auf,und|die|ehr|ba|re|schaff|ne|rin|kam|und|tisch|te|das|brot|auf
140,1,Und der Gerichte viel aus ihrem gesammelten Vorrat.,und der gerichte viel aus ihrem gesammelten vorrat,und|der|ge|rich|te|viel|aus|ih|rem|ge|sam|mel|ten|vor|rat
